STAR version=2.7.9a
STAR compilation time,server,dir= :/Users/cshl/data/STAR/STAR/source
##### Command Line:
STAR --runMode genomeGenerate --runThreadN 3 --genomeDir /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17 --genomeFastaFiles /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta --sjdbGTFfile /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.gtf
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runMode                       genomeGenerate        ~RE-DEFINED
runThreadN                    3     ~RE-DEFINED
genomeDir                     /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17     ~RE-DEFINED
genomeFastaFiles              /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta        ~RE-DEFINED
sjdbGTFfile                   /Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.gtf     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 9  "chr10" chrStart: 1396441088
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 10  "chr11" chrStart: 1527250944
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 11  "chr12" chrStart: 1649410048
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 12  "chr13" chrStart: 1769734144
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 13  "chr14" chrStart: 1890320384
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 14  "chr15" chrStart: 2015363072
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 15  "chr16" chrStart: 2119434240
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 16  "chr17" chrStart: 2217738240
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 17  "chr18" chrStart: 2312896512
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 18  "chr19" chrStart: 2403860480
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 19  "chrX" chrStart: 2465464320
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 20  "chrY" chrStart: 2636644352
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 21  "chrM" chrStart: 2728394752
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 22  "GL456210.1" chrStart: 2728656896
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 23  "GL456211.1" chrStart: 2728919040
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 24  "GL456212.1" chrStart: 2729181184
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 25  "GL456213.1" chrStart: 2729443328
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 26  "GL456216.1" chrStart: 2729705472
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 27  "GL456219.1" chrStart: 2729967616
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 28  "GL456221.1" chrStart: 2730229760
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 29  "GL456233.1" chrStart: 2730491904
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 30  "GL456239.1" chrStart: 2731016192
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 31  "GL456350.1" chrStart: 2731278336
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 32  "GL456354.1" chrStart: 2731540480
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 33  "GL456359.1" chrStart: 2731802624
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 34  "GL456360.1" chrStart: 2732064768
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 35  "GL456366.1" chrStart: 2732326912
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 36  "GL456367.1" chrStart: 2732589056
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 37  "GL456368.1" chrStart: 2732851200
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 38  "GL456370.1" chrStart: 2733113344
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 39  "GL456372.1" chrStart: 2733375488
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 40  "GL456378.1" chrStart: 2733637632
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 41  "GL456379.1" chrStart: 2733899776
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 42  "GL456381.1" chrStart: 2734161920
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 43  "GL456382.1" chrStart: 2734424064
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 44  "GL456383.1" chrStart: 2734686208
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 45  "GL456385.1" chrStart: 2734948352
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 46  "GL456387.1" chrStart: 2735210496
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 47  "GL456389.1" chrStart: 2735472640
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 48  "GL456390.1" chrStart: 2735734784
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 49  "GL456392.1" chrStart: 2735996928
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 50  "GL456393.1" chrStart: 2736259072
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 51  "GL456394.1" chrStart: 2736521216
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 52  "GL456396.1" chrStart: 2736783360
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 53  "JH584292.1" chrStart: 2737045504
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 54  "JH584293.1" chrStart: 2737307648
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 55  "JH584294.1" chrStart: 2737569792
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 56  "JH584295.1" chrStart: 2737831936
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 57  "JH584296.1" chrStart: 2738094080
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 58  "JH584297.1" chrStart: 2738356224
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 59  "JH584298.1" chrStart: 2738618368
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 60  "JH584299.1" chrStart: 2738880512
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 61  "JH584300.1" chrStart: 2739929088
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 62  "JH584301.1" chrStart: 2740191232
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 63  "JH584302.1" chrStart: 2740453376
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 64  "JH584303.1" chrStart: 2740715520
/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.fasta : chr # 65  "JH584304.1" chrStart: 2740977664
Chromosome sequence lengths: 
chr1	195471971
chr2	182113224
chr3	160039680
chr4	156508116
chr5	151834684
chr6	149736546
chr7	145441459
chr8	129401213
chr9	124595110
chr10	130694993
chr11	122082543
chr12	120129022
chr13	120421639
chr14	124902244
chr15	104043685
chr16	98207768
chr17	94987271
chr18	90702639
chr19	61431566
chrX	171031299
chrY	91744698
chrM	16299
GL456210.1	169725
GL456211.1	241735
GL456212.1	153618
GL456213.1	39340
GL456216.1	66673
GL456219.1	175968
GL456221.1	206961
GL456233.1	336933
GL456239.1	40056
GL456350.1	227966
GL456354.1	195993
GL456359.1	22974
GL456360.1	31704
GL456366.1	47073
GL456367.1	42057
GL456368.1	20208
GL456370.1	26764
GL456372.1	28664
GL456378.1	31602
GL456379.1	72385
GL456381.1	25871
GL456382.1	23158
GL456383.1	38659
GL456385.1	35240
GL456387.1	24685
GL456389.1	28772
GL456390.1	24668
GL456392.1	23629
GL456393.1	55711
GL456394.1	24323
GL456396.1	21240
JH584292.1	14945
JH584293.1	207968
JH584294.1	191905
JH584295.1	1976
JH584296.1	199368
JH584297.1	205776
JH584298.1	184189
JH584299.1	953012
JH584300.1	182347
JH584301.1	259875
JH584302.1	155838
JH584303.1	158099
JH584304.1	114452
Genome sequence total length = 2730871774
Genome size with padding = 2741239808
Nov 10 17:21:18 ..... processing annotations GTF
Processing pGe.sjdbGTFfile=/Volumes/pinquisitor/experiments/data/ref_seq/GencodeM17/GRCm38.gtf, found:
		135181 transcripts
		801313 exons (non-collapsed)
		278308 collapsed junctions
Total junctions: 278308
Nov 10 17:21:34 ..... finished GTF processing

Estimated genome size with padding and SJs: total=genome+SJ=2942239808 = 2741239808 + 201000000
GstrandBit=32
Number of SA indices: 5305567000
Nov 10 17:22:30 ... starting to sort Suffix Array. This may take a long time...
Number of chunks: 9;   chunks size limit: 5103504032 bytes
Nov 10 17:23:36 ... sorting Suffix Array chunks and saving them to disk...
